"","X","id","date","lat","lon","time","step","ta","dives","speed"
"1",1,"N22A1","2018-12-18 00:02",-77.0629,166.5715,5820,29.0317955987968,NA,29,17.957811710596
"2",2,"N22A1","2018-12-18 01:39",-77.3094,166.198,3540,5.93582327033291,2.76528982786291,13,6.03643044440635
"3",3,"N22A1","2018-12-18 02:38",-77.2686,166.3529,2160,5.70864372608741,6.08441482380601,14,9.51440621014568
"4",4,"N22A1","2018-12-18 03:14",-77.2366,166.5336,5940,4.32496165717541,1.64517118223707,25,2.62118888313661
"5",5,"N22A1","2018-12-18 04:53",-77.2082,166.4145,23400,31.3637863274162,1.17129545476719,131,4.82519789652557
"6",6,"N22A1","2018-12-18 11:23",-77.3017,165.214,10980,6.56697251960393,0.046964528888474,65,2.15310574413244
"7",7,"N22A1","2018-12-18 14:26",-77.3243,164.9668,3600,3.55146295201501,0.544810767382993,0,3.55146295201501
"8",8,"N22A1","2018-12-18 15:26",-77.35,164.8813,3600,1.92021501088522,6.01385593933205,8,1.92021501088522
"9",9,"N22A1","2018-12-18 16:26",-77.3607,164.8198,3600,2.48490527506298,5.87571373500578,22,2.48490527506298
"10",10,"N22A1","2018-12-18 17:26",-77.3665,164.7216,3660,4.367454952322,5.66237958569785,26,4.29585733015279
"11",11,"N22A1","2018-12-18 18:27",-77.3528,164.5542,3600,1.12103211808823,1.70743954999062,27,1.12103211808823
"12",12,"N22A1","2018-12-18 19:27",-77.3626,164.5442,21120,7.21831924643002,0.732557077969949,94,1.23039532609603
"13",13,"N22A1","2018-12-19 01:19",-77.4189,164.6898,1740,7.25693440053275,5.50989830785386,16,15.014347035585
"14",14,"N22A1","2018-12-19 01:48",-77.4817,164.6126,2220,7.01595079570557,3.11019194409474,20,11.3772175065496
"15",15,"N22A1","2018-12-19 02:25",-77.4215,164.6956,840,0.498304300062975,1.56726873104136,7,2.13558985741275
"16",16,"N22A1","2018-12-19 02:39",-77.4202,164.676,480,0.749498209368141,5.50529571825118,4,5.62123657026106
"17",17,"N22A1","2018-12-19 02:47",-77.4143,164.6613,3360,0.63464203920162,3.69964282073917,26,0.679973613430307
"18",18,"N22A1","2018-12-19 03:43",-77.4171,164.684,3600,1.65426357554777,3.86812774072911,30,1.65426357554777
"19",19,"N22A1","2018-12-19 04:43",-77.4202,164.6175,3900,0.555281690997598,0.180804417003174,40,0.512567714767014
"20",20,"N22A1","2018-12-19 05:48",-77.4221,164.5964,840,1.66467804057216,2.68176321726344,12,7.13433445959497
"21",21,"N22A1","2018-12-19 06:02",-77.4231,164.6647,1500,2.36324505723464,3.13445779818145,19,5.67178813736314
"22",22,"N22A1","2018-12-19 06:27",-77.4215,164.5678,1020,2.9068478460145,3.51968769462753,12,10.2594629859335
"23",23,"N22A1","2018-12-19 06:44",-77.4137,164.6818,3600,4.07030328779215,0.580119693221758,36,4.07030328779215
"24",24,"N22A1","2018-12-19 07:44",-77.3855,164.7877,3660,1.72904204341915,0.124410501046117,34,1.70069709188769
"25",25,"N22A1","2018-12-19 08:45",-77.3724,164.8255,11940,14.591395751583,6.05697696729063,123,4.39941580449739
